team,player_name,most_votes_price
St Kilda Most Votes,Jack Billings,151
St Kilda Most Votes,Jack Higgins,151
St Kilda Most Votes,Jade Gresham,151
St Kilda Most Votes,Marcus Windhager,151
St Kilda Most Votes,Max King,151
St Kilda Most Votes,Tim Membrey,151
Sydney Most Votes,Errol Gulden,1.1
Sydney Most Votes,Chad Warner,8
Sydney Most Votes,Luke Parker,21
Sydney Most Votes,Callum Mills,67
Sydney Most Votes,Isaac Heeney,81
Sydney Most Votes,Nick Blakey,101
Sydney Most Votes,Tom Papley,101
West Coast Most Votes,Tim Kelly,1.01
West Coast Most Votes,Luke Shuey,41
West Coast Most Votes,Oscar Allen,41
West Coast Most Votes,Dom Sheed,51
West Coast Most Votes,Andrew Gaff,67
West Coast Most Votes,Elliot Yeo,67
West Coast Most Votes,Jamie Cripps,81
West Coast Most Votes,Bailey J,101
West Coast Most Votes,Jack Darling,101
West Coast Most Votes,Jeremy McGovern,101
West Coast Most Votes - Without Kelly,Luke Shuey,3.75
West Coast Most Votes - Without Kelly,Jake Waterman,4
West Coast Most Votes - Without Kelly,Jamie Cripps,4
West Coast Most Votes - Without Kelly,Dom Sheed,6
West Coast Most Votes - Without Kelly,Liam Duggan,13
West Coast Most Votes - Without Kelly,Oscar Allen,13
West Coast Most Votes - Without Kelly,Bailey J,15
West Coast Most Votes - Without Kelly,Jamaine Jones,15
West Coast Most Votes - Without Kelly,Jack Darling,21
West Coast Most Votes - Without Kelly,Jayden Hunt,51
West Coast Most Votes - Without Kelly,Jeremy McGovern,101
Western Bulldogs Most Votes,Marcus Bontempelli,1.005
Western Bulldogs Most Votes,Tom Liberatore,26
Western Bulldogs Most Votes,Adam Treloar,41
Western Bulldogs Most Votes,Tim English,67
Western Bulldogs Most Votes,Bailey Smith,81
Western Bulldogs Most Votes,Caleb Daniel,81
Western Bulldogs Most Votes,Jack Macrae,101
Western Bulldogs Most Votes,Aaron Naughton,151
Western Bulldogs Most Votes,Bailey Dale,151
Western Bulldogs Most Votes - Without Bontempelli,Tom Liberatore,1.2
Western Bulldogs Most Votes - Without Bontempelli,Tim English,7
Western Bulldogs Most Votes - Without Bontempelli,Adam Treloar,8
Western Bulldogs Most Votes - Without Bontempelli,Caleb Daniel,81
Western Bulldogs Most Votes - Without Bontempelli,Bailey Smith,101
Western Bulldogs Most Votes - Without Bontempelli,Jamarra Ugle,101
Western Bulldogs Most Votes - Without Bontempelli,Aaron Naughton,151
